t,pos_val,neg_val,pos_setup_secs,neg_setup_secs,pos_solve_secs,neg_solve_secs,pos_total_secs,neg_total_secs,pos_term_status,neg_term_status,pos_eigmax,neg_eigmax
1,0.18014519412319327,-0.0628441912138531,1.9341111183166504,1.4501111507415771,1.0384628772735596,1.040705919265747,3.2351999282836914,2.684396982192993,OPTIMAL,OPTIMAL,1.1021192211258483e-7,4.7548079359822917e-8
2,0.1645070088897038,-0.021518792167849084,6.1137189865112305,6.200544118881226,4.558051824569702,4.310837030410767,11.411821126937866,10.965435981750488,OPTIMAL,OPTIMAL,6.278912727044831e-8,7.666851801430724e-8
3,0.1268488001688888,0.05515566940729997,14.176344871520996,15.007069826126099,12.928753852844238,12.952320098876953,28.199172019958496,28.719660997390747,OPTIMAL,OPTIMAL,7.054868397511118e-8,8.752234535775039e-8
4,0.07962396028069846,0.15992875133885934,24.73887586593628,22.501583099365234,25.25670099258423,25.229278087615967,51.57305312156677,49.466196060180664,OPTIMAL,OPTIMAL,8.1849988809282e-8,8.390157608887218e-8
5,0.0329365663170284,0.31115657062824237,36.80318284034729,39.05385684967041,38.80137395858765,37.73337507247925,78.18675303459167,78.78065896034241,OPTIMAL,OPTIMAL,8.845706318221071e-8,1.1689931495146047e-7
6,-0.03978818720149788,0.5163195320879578,58.96471691131592,57.75728893280029,58.49345397949219,58.198501110076904,119.32927107810974,117.81739401817322,OPTIMAL,OPTIMAL,1.1396517143118216e-7,7.76527417888876e-8
7,-0.14705689418703655,0.793542043917386,79.92118620872498,79.43777108192444,96.7640278339386,97.99708795547485,179.9146749973297,179.70287704467773,OPTIMAL,OPTIMAL,9.2135908634942e-8,7.454849652057389e-8
8,-0.29520286061712864,1.0772425737158318,103.64256000518799,106.78161287307739,137.93745303153992,136.18469381332397,245.06266593933105,247.03499817848206,OPTIMAL,OPTIMAL,2.659869180319494e-8,2.7766479555779394e-8
9,-0.4942602087327468,1.3992180555148774,135.07154417037964,135.05865383148193,162.61005210876465,161.48839807510376,302.3844110965729,299.73655581474304,OPTIMAL,OPTIMAL,4.016174962292377e-8,2.466464778208831e-8
10,-0.7447722190879729,1.7790006336310924,168.41221499443054,169.1018660068512,248.3065540790558,242.64745497703552,422.12277698516846,417.05807089805603,OPTIMAL,OPTIMAL,3.987474921085946e-8,3.452701141391333e-8
11,-0.9991609017589211,2.0513449540096467,205.17884302139282,204.23191094398499,271.355103969574,269.4581141471863,482.74399304389954,480.2464759349823,OPTIMAL,OPTIMAL,2.22030387007775e-8,1.4854705598615004e-8
12,-1.3309598966028922,2.4200710321400525,246.07312607765198,258.58683800697327,344.6251759529114,348.8382329940796,596.6947538852692,613.9998018741608,OPTIMAL,OPTIMAL,1.229999948039734e-8,2.272687361717226e-8
