t,obj_val,setup_secs,solve_secs,total_secs,term_status,eigmax
1,0.8135522043439553,0.03908991813659668,0.4624781608581543,0.5178179740905762,OPTIMAL,7.809059762511818e-7
2,0.878265906117035,0.1529240608215332,0.9832370281219482,1.1849329471588135,OPTIMAL,2.2250489214079723e-6
3,0.9379535497253401,1.1402409076690674,1.451570987701416,2.6758291721343994,OPTIMAL,2.676545316051832e-6
4,1.000548757611206,0.5705420970916748,2.1675429344177246,3.0727040767669678,OPTIMAL,1.3472150000538122e-6
5,1.0663226342397412,0.8281619548797607,2.549264907836914,3.564239978790283,OPTIMAL,3.2464562394527242e-6
6,1.1354143099557508,1.5055580139160156,3.2110838890075684,4.995826005935669,OPTIMAL,1.414043003829046e-6
7,1.2079991371031364,2.3966901302337646,3.6104841232299805,6.391177177429199,OPTIMAL,2.8445693112345477e-6
8,1.2842698343939278,3.080673933029175,5.018306016921997,8.595501899719238,OPTIMAL,9.171610670520549e-7
9,1.3643670344837202,3.994162082672119,4.418699026107788,9.065104961395264,OPTIMAL,3.6935051248266506e-6
10,1.4436928361901378,4.891155004501343,5.265431880950928,10.930924892425537,OPTIMAL,2.190197714478026e-6
11,1.5224941317236558,5.61254096031189,5.58781886100769,12.110382795333862,OPTIMAL,1.0591163828812657e-6
12,1.602138075142157,6.585294008255005,6.314985036849976,13.973562955856323,OPTIMAL,2.2407781969725563e-6
13,1.682379834292787,8.041836023330688,6.448473930358887,15.9981529712677,OPTIMAL,1.006148972049971e-6
14,1.763179292991735,9.299370050430298,7.164841175079346,17.982271909713745,OPTIMAL,1.3539346505568564e-6
15,1.8445569763602334,10.316704034805298,8.768501996994019,20.500151872634888,OPTIMAL,1.7228993345614498e-6
16,1.9264700894993967,12.647859811782837,8.029123067855835,23.166893005371094,OPTIMAL,4.520626198074755e-6
17,2.0089989931128436,13.618720054626465,10.078350067138672,26.449513912200928,OPTIMAL,3.319196894991626e-6
18,2.09221326752691,14.624438047409058,10.753639936447144,28.261048078536987,OPTIMAL,4.5927622691414426e-7
19,2.1758349039312335,17.359827995300293,10.982424020767212,31.048280000686646,OPTIMAL,4.213385598555807e-6
20,2.2601505351459057,18.8123140335083,11.49045205116272,33.32882881164551,OPTIMAL,4.4684136042478995e-6
21,2.345130746162111,20.784091234207153,11.758407831192017,36.2315411567688,OPTIMAL,2.4314155006295602e-6
22,2.4300321173575465,22.808499097824097,13.781799077987671,40.66226506233215,OPTIMAL,5.002616741773257e-6
23,2.5165894641504947,25.55021095275879,13.947267055511475,43.9526469707489,OPTIMAL,4.8305204000423026e-6
24,2.603524809594814,27.58714008331299,14.41027283668518,45.33998417854309,OPTIMAL,2.3945711227669866e-6
25,2.6909635294166385,30.937684059143066,16.24132513999939,52.06056499481201,OPTIMAL,1.0562920003142013e-6
26,2.778785104251626,32.65290808677673,16.112189054489136,53.9745090007782,OPTIMAL,3.632238526454023e-6
27,2.8674378645390277,34.69137382507324,17.059252977371216,57.211780071258545,OPTIMAL,3.3654369763970843e-6
28,2.9566759252268655,38.19344401359558,17.73657202720642,62.015228033065796,OPTIMAL,3.364115092992088e-6
29,3.04664429458586,40.7078070640564,19.907898902893066,67.91638398170471,OPTIMAL,1.8510794820192144e-6
30,3.137058302784216,43.01133704185486,20.624150037765503,70.50805902481079,OPTIMAL,3.0362666574296855e-6
