t,obj_val,setup_secs,solve_secs,total_secs,term_status,eigmax
1,1.948831264573995,1.7158520221710205,16.911473989486694,19.911767959594727,OPTIMAL,9.69289758600857e-7
2,1.9825680082671142,6.557724952697754,51.246711015701294,59.48625183105469,OPTIMAL,7.546719672442443e-7
3,2.0331523952545307,14.835845947265625,87.27670693397522,106.04624700546265,OPTIMAL,9.454823035180565e-7
4,2.1136389850073796,26.522104024887085,135.71753883361816,169.09951901435852,OPTIMAL,1.4388329687432884e-6
5,2.215217893797595,40.57231402397156,178.16817903518677,228.87436819076538,OPTIMAL,8.543608271522784e-7
6,2.3402597232679887,60.82063698768616,198.2041609287262,269.9606349468231,OPTIMAL,5.0520084229315875e-6
7,2.500078832972025,85.0658769607544,256.1109869480133,356.6988389492035,OPTIMAL,3.712553708416799e-6
8,2.6826410199828357,110.6106870174408,302.7906811237335,435.18209409713745,OPTIMAL,9.548040292360677e-7
9,2.863283855948612,143.44631791114807,343.3807280063629,511.59211897850037,OPTIMAL,4.106648830076721e-6
10,3.022414673585045,181.35583901405334,360.31443905830383,574.3347928524017,OPTIMAL,8.842540943769861e-7
11,3.15181447572685,229.69511318206787,398.3362979888916,662.027261018753,OPTIMAL,2.257685839753532e-6
12,3.3325260610824645,254.93929600715637,456.55210614204407,757.8214151859283,OPTIMAL,3.929525986950176e-6
13,3.424403734359381,337.98369812965393,491.303829908371,884.0282020568848,OPTIMAL,2.8768811983700942e-6
14,3.586804028847271,497.5938718318939,553.1763069629669,1193.655529975891,OPTIMAL,2.9225320514017836e-6
15,3.853950508949114,406.3005168437958,614.948352098465,1226.6187510490417,OPTIMAL,1.257800698264665e-6
16,3.904395378320189,497.7825210094452,639.4120681285858,1428.7255878448486,OPTIMAL,1.6610610012358995e-6
17,3.8646499382539794,526.1060390472412,666.0932340621948,1458.3358750343323,OPTIMAL,4.097761908000265e-6
18,3.809252702839463,591.9165699481964,752.7817420959473,1750.9604618549347,OPTIMAL,9.657622537693438e-7
19,3.809814988791645,685.5174939632416,817.0491390228271,2020.217180967331,OPTIMAL,4.897924319039529e-6
20,3.8332550170544435,753.4634130001068,921.7913680076599,2124.4365310668945,OPTIMAL,1.385845107470842e-6
21,3.893868307620933,1157.0287148952484,904.5704050064087,2792.979903936386,OPTIMAL,6.152155543111766e-6
22,3.9618748509659087,1361.2532451152802,1067.1974499225616,3278.648885011673,OPTIMAL,5.882275458568135e-6
23,4.183101881835622,1507.2962710857391,1089.6477580070496,3452.5260360240936,OPTIMAL,4.5715562004825e-6
24,4.87441070120732,1778.2661361694336,1099.317745923996,3806.3988270759583,OPTIMAL,4.320298493290976e-6
25,6.389259884706711,2047.9161911010742,1171.2032310962677,4239.738960981369,OPTIMAL,8.682440595878659e-6
26,9.832774950904895,1263.6775109767914,1438.1549258232117,3365.8557181358337,OPTIMAL,1.8016038712181976e-6
27,22.694705475449712,2476.5107769966125,1444.3841679096222,5199.891487836838,OPTIMAL,1.1599679176657499e-5
28,71.35369338046597,2862.41424202919,2238.4410650730133,6621.174787044525,OPTIMAL,3.824689061312864e-5
29,247.5077521020071,3200.4040579795837,2724.554883956909,7582.383457899094,OPTIMAL,3.815576806350946e-5
30,796.5933223709014,3709.4828078746796,2730.150627851486,8399.14933013916,OPTIMAL,7.033326779025502e-5
