beta,pos_val,neg_val,pos_setup_secs,neg_setup_secs,pos_solve_secs,neg_solve_secs,pos_total_secs,neg_total_secs,pos_term_status,neg_term_status,pos_eigmax,neg_eigmax
0,0.16450700888854558,-0.021518792165685925,6.166209936141968,5.48178505897522,4.737125873565674,4.327775001525879,11.563541173934937,10.375040054321289,OPTIMAL,OPTIMAL,6.2789128185392e-8,7.666851752497684e-8
1,0.1645073900165153,-0.021518105391224788,5.294373035430908,5.211274862289429,8.949987173080444,8.117520093917847,15.08280611038208,14.213423013687134,OPTIMAL,OPTIMAL,8.510462898531883e-8,1.1440804280509506e-7
2,0.1645066764889501,-0.021519480273941037,5.702383995056152,5.685685157775879,13.423217058181763,12.048747062683105,19.92392611503601,18.58125114440918,OPTIMAL,OPTIMAL,3.8036900172778e-8,3.0528718829463814e-8
3,0.16450670265780223,-0.02151935766889415,5.548803806304932,5.596013069152832,18.190299034118652,15.085689067840576,24.681804180145264,21.536561012268066,OPTIMAL,OPTIMAL,4.264118173602036e-8,3.7269004586811756e-8
4,0.16359385388618772,-0.02151935110094056,5.696306943893433,5.886089086532593,24.810463905334473,19.195722103118896,31.499597787857056,26.189476013183594,OPTIMAL,OPTIMAL,3.537454725269235e-9,3.8168388521172774e-8
5,0.15729998048568994,-0.021519401616093593,6.657533884048462,6.013232946395874,29.329440116882324,25.047333002090454,37.128247022628784,32.1036810874939,OPTIMAL,OPTIMAL,2.0732452443757377e-8,3.44961959735156e-8
6,0.14849456050264437,-0.021519492140929488,6.001372814178467,6.539131164550781,38.82908296585083,29.624598026275635,46.092079877853394,37.717190980911255,OPTIMAL,OPTIMAL,2.7125291017537344e-8,2.9625916749921053e-8
7,0.14581221773671554,-0.02151935865646994,6.433973073959351,5.97796893119812,42.29754304885864,33.45963001251221,50.05868196487427,40.7988440990448,OPTIMAL,OPTIMAL,3.5942952097453004e-8,3.692651658948575e-8
8,0.14418314132609436,-0.021518432059263567,6.4373860359191895,6.1482110023498535,51.84293818473816,38.60999393463135,59.938360929489136,46.06562399864197,OPTIMAL,OPTIMAL,3.421571130106314e-8,8.16696488092617e-8
9,0.14262613326513693,-0.02151855730194713,6.005486965179443,6.097951173782349,57.16346287727356,46.825068950653076,64.64583492279053,54.36245799064636,OPTIMAL,OPTIMAL,4.5071335852555177e-8,9.145565988664159e-8
10,0.14070799999183697,-0.02151871606130558,6.350289821624756,6.291895866394043,77.55852890014648,54.81614303588867,85.5551028251648,62.79631209373474,OPTIMAL,OPTIMAL,6.423940032416408e-8,7.597048873173928e-8
