beta,pos_val,neg_val,pos_setup_secs,neg_setup_secs,pos_solve_secs,neg_solve_secs,pos_total_secs,neg_total_secs,pos_term_status,neg_term_status,pos_eigmax,neg_eigmax
0,1608.6192626956952,1084.2944335935786,1.868699073791504,1.20809006690979,3.34688401222229,3.1818230152130127,5.276923894882202,4.4522318840026855,OPTIMAL,OPTIMAL,-1.6431630922042044e-13,4.1844129793177844e-13
1,1608.619262690946,1084.2944335907266,1.160984992980957,1.1413469314575195,3.8462700843811035,4.782372951507568,5.10660982131958,6.015161991119385,OPTIMAL,OPTIMAL,2.606225844592551e-12,8.38023598073706e-12
2,1608.619262690758,761.3904350338552,1.1742439270019531,1.057163953781128,6.691406011581421,9.438477993011475,8.003342866897583,10.643535137176514,OPTIMAL,OPTIMAL,1.3313720695848946e-13,1.3389406814552042e-10
3,1423.246285202265,608.9593676329055,1.0404300689697266,1.5466158390045166,12.348842859268188,15.625781059265137,13.639901161193848,17.439013957977295,OPTIMAL,OPTIMAL,1.9896226840067886e-10,2.5041158553907656e-11
4,1236.9161664522564,490.82640962150015,1.1044659614562988,1.3851850032806396,17.964184045791626,15.882295846939087,19.28436517715454,17.753071069717407,SLOW_PROGRESS,OPTIMAL,-2.42701382104078e-10,2.467375040513107e-10
5,1094.7650878806662,381.53044392855384,1.0641419887542725,1.9210538864135742,167.3155539035797,21.691946983337402,168.7481348514557,24.323235034942627,SLOW_PROGRESS,OPTIMAL,3.66619252395148e-11,-1.3972931732606545e-10
6,1009.0878148404981,354.6520388742257,1.374549150466919,1.4073190689086914,25.619778156280518,27.951942920684814,27.95961904525757,30.252055168151855,SLOW_PROGRESS,SLOW_PROGRESS,7.551462665266288e-11,-1.2809058877787863e-11
7,892.9856285643749,315.2208916990094,1.3657748699188232,1.4377379417419434,37.396069049835205,33.69775199890137,39.78696918487549,35.977657079696655,OPTIMAL,OPTIMAL,-2.4775401751949536e-11,2.834001259995057e-10
8,807.8940775995493,291.999943882633,1.4131579399108887,1.5162861347198486,37.554954051971436,36.114121198654175,40.03659009933472,38.665239095687866,SLOW_PROGRESS,OPTIMAL,2.5008096077863505e-10,1.066421124191574e-10
9,742.765405374138,276.17542574997003,1.5581769943237305,1.4473249912261963,40.47993993759155,107.47518014907837,43.11986422538757,110.0146210193634,OPTIMAL,OPTIMAL,1.2207925920914587e-10,4.2558592654788847e-10
10,661.8933761444779,259.74583225014567,1.4502310752868652,1.4662830829620361,45.82689905166626,31.3790500164032,48.40400195121765,33.78299403190613,OPTIMAL,OPTIMAL,5.557631107203639e-10,1.6515758048856136e-13
