beta,width,yc1,yc2,yc3,yc4,P11,P12,P13,P14,P22,P23,P24,P33,P34,P44,setup_secs,solve_secs,total_secs,eigmax
0,40,-1.8243373845037263,12.050687583178366,-6.7577766273518876,-9.64842126285177,6860.507356015817,1179.468501875998,-1110.0419746608625,943.5125770426301,4773.382925368098,-887.8516618256592,-292.17408579111463,2864.602301904703,970.6002768096076,4482.6416557659295,20.26597785949707,3.795569896697998,39.07520079612732,6.620984673361043e-12
1,40,-1.9098653845327305,12.0316144866924,-6.741107633337771,-9.63834848514794,5732.006722334486,971.1335279240008,-909.2548811428695,819.8206828480735,4035.77418136108,-755.4075342042413,-244.51774993868014,2399.16868225016,818.3906654096531,3762.731342519864,3.3782360553741455,7.749791145324707,11.222820043563843,1.0699184552574491e-8
2,40,-1.8724981471482607,12.063957537981828,-6.738617631562525,-9.620469444051443,4385.408439743109,744.948803630691,-714.2687809146379,616.9219386442569,3090.6682056150457,-571.490147784724,-186.35611403980175,1839.4687557635593,628.2672880055768,2905.140380251963,1.3195691108703613,11.680333137512207,13.217252969741821,1.1043116543443497e-7
3,40,-1.8476103888462405,12.055728630138994,-6.736541796001583,-9.62915373087507,3592.935699452416,613.3580799677586,-576.6454031418492,500.7576473229079,2526.9269100057545,-473.7430723391861,-162.549771547984,1503.275139896166,514.6367516318163,2363.696069658997,1.983659029006958,17.015050172805786,19.229503870010376,1.2906935388333327e-7
4,40,-1.838099863529756,12.07361202643601,-6.740855886550924,-9.609399796012259,3021.0105942836954,510.4368748422112,-486.141041329837,427.5814212514798,2117.1401564730177,-392.05382035625075,-128.5859112268462,1262.2342554179347,430.87107231309386,1994.1535502933073,1.4191501140594482,22.594967126846313,24.25568199157715,1.28779963923792e-6
5,40,-1.8366468595103558,12.043147617336723,-6.74469847842552,-9.640162000314772,2646.096478668126,454.0202243176711,-432.459917794448,363.71828236644603,1841.90519413788,-346.83196037418884,-119.76433546584543,1110.566171245789,378.2465236007685,1734.4916356926888,1.3955748081207275,21.310652017593384,23.499980926513672,5.261505556801543e-7
6,40,-1.8789801084772293,12.069826531753556,-6.74265453468362,-9.625611224711045,2335.726776695673,399.91869235347446,-378.94485229434576,320.9686117600468,1657.9291592995646,-306.1325320735447,-97.37791762767883,978.4254820331226,331.6365384005237,1531.4307608472486,1.4460549354553223,19.992022037506104,21.730651140213013,1.1785072244202834e-8
7,40,-1.8450851470112788,12.042957280644211,-6.726643483609066,-9.623122702673973,2119.882676011543,363.1985315389563,-346.7358861186404,282.59216914486626,1498.6993863949483,-276.8236876161783,-94.32514381418964,886.7586864927929,301.04501859526374,1383.8536495054634,1.3210220336914062,30.728389024734497,32.69266605377197,3.667536158403869e-7
8,40,-1.8835445535841235,12.071725265494281,-6.7252934644865805,-9.61815097647424,1968.115155132807,334.1065652467094,-314.71863002911203,279.3467453218615,1379.7620352275167,-254.85536702775485,-87.07512429385098,821.9320708752049,281.13903981247455,1295.0262382409423,1.389503002166748,39.785752058029175,41.921786069869995,-8.287439434291161e-10
9,40,-1.8773959869504435,12.06753321826994,-6.734587310576613,-9.642974561907344,1824.6187138222492,313.5177027247685,-289.38691052353084,256.5091556036121,1278.0880055941502,-237.0923317104886,-78.63347936249986,758.7289693834197,257.6509858092511,1196.439636391643,1.4142019748687744,38.85706114768982,41.144104957580566,-1.7834991741473824e-7
10,40,-1.879744646321814,12.060499697190705,-6.742342078976366,-9.63466386910728,1716.9002694374112,290.25977593652925,-275.0161582252985,240.59190713267517,1201.5618350255568,-221.0805696650057,-71.18718364017805,717.7792184583386,244.79746837917213,1121.652959090012,1.3779301643371582,47.09965896606445,49.295621156692505,-1.8869861951362295e-8
