beta,pos_val,neg_val,pos_setup_secs,neg_setup_secs,pos_solve_secs,neg_solve_secs,pos_total_secs,neg_total_secs,pos_term_status,neg_term_status,pos_eigmax,neg_eigmax
0,184.75061035153814,188.62419128381268,0.21192502975463867,0.27979612350463867,0.42818188667297363,0.39586901664733887,0.6678178310394287,0.7034060955047607,OPTIMAL,OPTIMAL,1.6229725647734633e-12,7.361622660136432e-12
1,184.75061034291147,188.62419109348244,0.21098089218139648,0.2838141918182373,0.6812930107116699,0.75937819480896,0.9397780895233154,1.1159579753875732,OPTIMAL,OPTIMAL,2.007323905718624e-12,2.8636802173110126e-11
2,184.7506102064426,188.6241912457282,0.17360591888427734,0.2951169013977051,0.8660581111907959,0.7452449798583984,1.0916049480438232,1.0923089981079102,SLOW_PROGRESS,OPTIMAL,1.308645020146196e-11,3.818525145285553e-12
3,171.57219048455815,156.95541359050725,0.22760820388793945,0.3215060234069824,1.178260087966919,1.157439947128296,1.475386142730713,1.546247959136963,OPTIMAL,OPTIMAL,9.84848527151215e-13,3.130694620583924e-11
4,156.196030754788,144.16764578497714,0.2452409267425537,0.31909918785095215,1.33306884765625,1.3390848636627197,1.6606359481811523,1.7354168891906738,OPTIMAL,OPTIMAL,1.3740807143765658e-11,-3.3339148995827873e-11
5,143.3559846875626,130.03101341886284,0.24883198738098145,0.28778600692749023,1.9827280044555664,1.329200029373169,2.3514180183410645,1.7330279350280762,SLOW_PROGRESS,OPTIMAL,1.712112862902541e-11,5.127383990092898e-12
6,132.5663185114152,120.55203297620663,0.23072099685668945,0.28551411628723145,1.9537358283996582,1.633378028869629,2.313805103302002,2.019676923751831,OPTIMAL,OPTIMAL,1.5371373089228527e-11,-8.319730921573201e-11
7,121.03502736419132,114.01952882930874,0.2723510265350342,0.36929798126220703,2.175917148590088,1.5539841651916504,2.5761499404907227,2.042423963546753,SLOW_PROGRESS,OPTIMAL,3.0805053974114775e-11,7.441773551065945e-13
8,109.14699245486601,105.79084198225428,0.39285802841186523,0.7477631568908691,1.99686598777771,2.1035969257354736,2.524869918823242,3.0141148567199707,OPTIMAL,OPTIMAL,2.4950968181082552e-11,-2.307021701455576e-11
9,101.91707980146181,101.02258932233943,0.3025660514831543,0.24590492248535156,2.8985159397125244,2.539254903793335,3.3757569789886475,2.9522881507873535,OPTIMAL,OPTIMAL,1.5891845897249956e-11,1.6198705398359186e-10
10,95.764522195086,100.30114502810498,0.25553202629089355,0.2690908908843994,2.83771014213562,2.6468019485473633,3.257444143295288,3.087031126022339,OPTIMAL,OPTIMAL,-3.0969696297201548e-12,-1.8326041687081514e-10
